[96mGenerating FPChecker report...[00m
Trace files found: 0
Error files found: 1

===== Rounding Error Report =====
Files with rounding errors: 3
Lines with rounding errors: 623
Max abs rounding error:   2.370555e+27
Max relative error:       inf
Max seen relative error:  inf

--- File: /g/g90/sharmin1/tutorial/FPChecker/experiments/proxy_apps/mixed_precision/lulesh_new/lulesh_2/before/lulesh-init.cc
Line   | Code                                           |         Error |    Rel. Error | Max Rel. Error
877    | yd1[2] = domain.yd(n2si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
878    | yd1[3] = domain.yd(n3si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
879    | yd1[4] = domain.yd(n4si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
880    | yd1[5] = domain.yd(n5si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
881    | yd1[6] = domain.yd(n6si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
882    | yd1[7] = domain.yd(n7si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
884    | zd1[0] = domain.zd(n0si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
885    | zd1[1] = domain.zd(n1si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
886    | zd1[2] = domain.zd(n2si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
887    | zd1[3] = domain.zd(n3si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
888    | zd1[4] = domain.zd(n4si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
889    | zd1[5] = domain.zd(n5si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
890    | zd1[6] = domain.zd(n6si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
891    | zd1[7] = domain.zd(n7si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
893    | coefficient = - hourg * Real_t(0.01) * ss1 ... | -8.699627e-30 |  5.567762e-08 |  1.000000e+00
933    | domain.fx(n0si2) += hgfx[0];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
934    | domain.fy(n0si2) += hgfy[0];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
935    | domain.fz(n0si2) += hgfz[0];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
937    | domain.fx(n1si2) += hgfx[1];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
938    | domain.fy(n1si2) += hgfy[1];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
939    | domain.fz(n1si2) += hgfz[1];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
941    | domain.fx(n2si2) += hgfx[2];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
942    | domain.fy(n2si2) += hgfy[2];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
943    | domain.fz(n2si2) += hgfz[2];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
945    | domain.fx(n3si2) += hgfx[3];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
946    | domain.fy(n3si2) += hgfy[3];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
947    | domain.fz(n3si2) += hgfz[3];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
949    | domain.fx(n4si2) += hgfx[4];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
950    | domain.fy(n4si2) += hgfy[4];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
951    | domain.fz(n4si2) += hgfz[4];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
953    | domain.fx(n5si2) += hgfx[5];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
954    | domain.fy(n5si2) += hgfy[5];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
955    | domain.fz(n5si2) += hgfz[5];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
957    | domain.fx(n6si2) += hgfx[6];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
958    | domain.fy(n6si2) += hgfy[6];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
959    | domain.fz(n6si2) += hgfz[6];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
961    | domain.fx(n7si2) += hgfx[7];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
962    | domain.fy(n7si2) += hgfy[7];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
963    | domain.fz(n7si2) += hgfz[7];                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1023   | dvdx[jj] = pfx[ii];                            | -1.164153e-10 |  2.980232e-08 |  3.472064e-01
1024   | dvdy[jj] = pfy[ii];                            |  1.164153e-10 |  2.980232e-08 |  3.472063e-01
1025   | dvdz[jj] = pfz[ii];                            |  1.164153e-10 |  2.980232e-08 |  3.472064e-01
1026   | x8n[jj]  = x1[ii];                             |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1027   | y8n[jj]  = y1[ii];                             |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1028   | z8n[jj]  = z1[ii];                             |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1031   | determ[i] = domain.volo(i) * domain.v(i);      |  5.820766e-11 |  2.980232e-08 |  3.789159e-01
1034   | if ( domain.v(i) <= Real_t(0.0) ) {            |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
1043   | if ( hgcoef > Real_t(0.) ) {                   |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
1084   | if (determ[k] <= Real_t(0.0)) {                |  0.000000e+00 |  0.000000e+00 |  3.790770e-01
1145   | domain.xdd(i) = domain.fx(i) / domain.nodal... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1146   | domain.ydd(i) = domain.fy(i) / domain.nodal... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1147   | domain.zdd(i) = domain.fz(i) / domain.nodal... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1193   | xdtmp = domain.xd(i) + domain.xdd(i) * dt ;    |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1194   | if( FABS(xdtmp) < u_cut ) xdtmp = Real_t(0.0); |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1195   | domain.xd(i) = xdtmp ;                         |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1197   | ydtmp = domain.yd(i) + domain.ydd(i) * dt ;    |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1198   | if( FABS(ydtmp) < u_cut ) ydtmp = Real_t(0.0); |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1199   | domain.yd(i) = ydtmp ;                         |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1201   | zdtmp = domain.zd(i) + domain.zdd(i) * dt ;    |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1202   | if( FABS(zdtmp) < u_cut ) zdtmp = Real_t(0.0); |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1203   | domain.zd(i) = zdtmp ;                         |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1215   | domain.x(i) += domain.xd(i) * dt ;             |  0.000000e+00 |  0.000000e+00 |  1.786999e+00
1216   | domain.y(i) += domain.yd(i) * dt ;             |  0.000000e+00 |  0.000000e+00 |  1.786999e+00
1217   | domain.z(i) += domain.zd(i) * dt ;             |  0.000000e+00 |  0.000000e+00 |  1.786999e+00
1230   | const Real_t delt = domain.deltatime() ;       | -2.700787e-05 |  7.447123e+05 |  1.067049e+06
1289   | Real_t dx61 = x6 - x1;                         |  0.000000e+00 |  0.000000e+00 |  4.526592e+00
1290   | Real_t dy61 = y6 - y1;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1291   | Real_t dz61 = z6 - z1;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1293   | Real_t dx70 = x7 - x0;                         |  0.000000e+00 |  0.000000e+00 |  4.526592e+00
1294   | Real_t dy70 = y7 - y0;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1295   | Real_t dz70 = z7 - z0;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1297   | Real_t dx63 = x6 - x3;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1298   | Real_t dy63 = y6 - y3;                         |  0.000000e+00 |  0.000000e+00 |  4.526592e+00
1299   | Real_t dz63 = z6 - z3;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1301   | Real_t dx20 = x2 - x0;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1302   | Real_t dy20 = y2 - y0;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1303   | Real_t dz20 = z2 - z0;                         |  0.000000e+00 |  0.000000e+00 |  4.526592e+00
1305   | Real_t dx50 = x5 - x0;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1306   | Real_t dy50 = y5 - y0;                         |  0.000000e+00 |  0.000000e+00 |  4.526592e+00
1307   | Real_t dz50 = z5 - z0;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1309   | Real_t dx64 = x6 - x4;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1310   | Real_t dy64 = y6 - y4;                         |  0.000000e+00 |  0.000000e+00 |  1.000014e+00
1311   | Real_t dz64 = z6 - z4;                         |  0.000000e+00 |  0.000000e+00 |  4.526592e+00
1313   | Real_t dx31 = x3 - x1;                         |  0.000000e+00 |  0.000000e+00 |  1.000045e+00
1314   | Real_t dy31 = y3 - y1;                         |  0.000000e+00 |  0.000000e+00 |  1.000045e+00
1315   | Real_t dz31 = z3 - z1;                         |  0.000000e+00 |  0.000000e+00 |  2.224819e+00
1317   | Real_t dx72 = x7 - x2;                         |  0.000000e+00 |  0.000000e+00 |  1.000005e+00
1318   | Real_t dy72 = y7 - y2;                         |  0.000000e+00 |  0.000000e+00 |  2.224819e+00
1319   | Real_t dz72 = z7 - z2;                         |  0.000000e+00 |  0.000000e+00 |  1.000005e+00
1321   | Real_t dx43 = x4 - x3;                         |  0.000000e+00 |  0.000000e+00 |  2.224819e+00
1322   | Real_t dy43 = y4 - y3;                         |  0.000000e+00 |  0.000000e+00 |  1.000045e+00
1323   | Real_t dz43 = z4 - z3;                         |  0.000000e+00 |  0.000000e+00 |  1.000045e+00
1325   | Real_t dx57 = x5 - x7;                         |  0.000000e+00 |  0.000000e+00 |  1.000005e+00
1326   | Real_t dy57 = y5 - y7;                         |  0.000000e+00 |  0.000000e+00 |  1.000005e+00
1327   | Real_t dz57 = z5 - z7;                         |  0.000000e+00 |  0.000000e+00 |  2.224819e+00
1329   | Real_t dx14 = x1 - x4;                         |  0.000000e+00 |  0.000000e+00 |  1.000045e+00
1330   | Real_t dy14 = y1 - y4;                         |  0.000000e+00 |  0.000000e+00 |  2.224819e+00
1331   | Real_t dz14 = z1 - z4;                         |  0.000000e+00 |  0.000000e+00 |  1.000045e+00
1333   | Real_t dx25 = x2 - x5;                         |  0.000000e+00 |  0.000000e+00 |  2.224819e+00
1334   | Real_t dy25 = y2 - y5;                         |  0.000000e+00 |  0.000000e+00 |  1.000005e+00
1335   | Real_t dz25 = z2 - z5;                         |  0.000000e+00 |  0.000000e+00 |  1.000005e+00
1341   | TRIPLE_PRODUCT(dx31 + dx72, dx63, dx20,        |  0.000000e+00 |  0.000000e+00 |  5.434248e+00
1343   | dz31 + dz72, dz63, dz20) +                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1344   | TRIPLE_PRODUCT(dx43 + dx57, dx64, dx70,        |  0.000000e+00 |  0.000000e+00 |  5.434248e+00
1346   | dz43 + dz57, dz64, dz70) +                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1347   | TRIPLE_PRODUCT(dx14 + dx25, dx61, dx50,        |  0.000000e+00 |  0.000000e+00 |  5.434248e+00
1353   | volume *= twelveth;                            |  5.820766e-11 |  2.980232e-08 |  1.000001e+00
1363   | return CalcElemVolume( x[0], x[1], x[2], x[... |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1364   | y[0], y[1], y[2], y[3], y[4], y[5], y[6], y... |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1365   | z[0], z[1], z[2], z[3], z[4], z[5], z[6], z... |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1378   | Real_t fx = (x2 - x0) - (x3 - x1);             |  0.000000e+00 |  0.000000e+00 |  4.829584e+00
1379   | Real_t fy = (y2 - y0) - (y3 - y1);             |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
1380   | Real_t fz = (z2 - z0) - (z3 - z1);             |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
1381   | Real_t gx = (x2 - x0) + (x3 - x1);             |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
1382   | Real_t gy = (y2 - y0) + (y3 - y1);             |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
1383   | Real_t gz = (z2 - z0) + (z3 - z1);             |  0.000000e+00 |  0.000000e+00 |  4.829584e+00
1385   | (fx * fx + fy * fy + fz * fz) *                |  0.000000e+00 |  0.000000e+00 |  3.239439e+01
1386   | (gx * gx + gy * gy + gz * gz) -                |  0.000000e+00 |  0.000000e+00 |  3.239439e+01
1387   | (fx * gx + fy * gy + fz * gz) *                |  0.000000e+00 |  0.000000e+00 |  1.153301e+01
1405   | charLength = std::max(a,charLength) ;          |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1410   | charLength = std::max(a,charLength) ;          |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1415   | charLength = std::max(a,charLength) ;          |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1420   | charLength = std::max(a,charLength) ;          |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1425   | charLength = std::max(a,charLength) ;          |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1430   | charLength = std::max(a,charLength) ;          |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1432   | charLength = Real_t(4.0) * volume / SQRT(ch... |  3.725290e-09 |  2.980232e-08 |  3.121320e+00
1447   | const Real_t inv_detJ = Real_t(1.0) / detJ ;   |  0.000000e+00 |  0.000000e+00 |  4.039220e+37
1453   | d[0] = inv_detJ * ( pfx[0] * (xvel[0]-xvel[6]) |  0.000000e+00 |  0.000000e+00 |           inf
1454   | + pfx[1] * (xvel[1]-xvel[7])                   |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1455   | + pfx[2] * (xvel[2]-xvel[4])                   |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1456   | + pfx[3] * (xvel[3]-xvel[5]) );                |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1458   | d[1] = inv_detJ * ( pfy[0] * (yvel[0]-yvel[6]) |  0.000000e+00 |  0.000000e+00 |           inf
1459   | + pfy[1] * (yvel[1]-yvel[7])                   |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1460   | + pfy[2] * (yvel[2]-yvel[4])                   |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1461   | + pfy[3] * (yvel[3]-yvel[5]) );                |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1463   | d[2] = inv_detJ * ( pfz[0] * (zvel[0]-zvel[6]) |  0.000000e+00 |  0.000000e+00 |           inf
1464   | + pfz[1] * (zvel[1]-zvel[7])                   |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1465   | + pfz[2] * (zvel[2]-zvel[4])                   |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1466   | + pfz[3] * (zvel[3]-zvel[5]) );                |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
1531   | volume = CalcElemVolume(x_local, y_local, z... |  5.820766e-11 |  2.980232e-08 |  1.000001e+00
1532   | relativeVolume = volume / domain.volo(k) ;     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1533   | domain.vnew(k) = relativeVolume ;              |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1534   | domain.delv(k) = relativeVolume - domain.v(... |  0.000000e+00 |  0.000000e+00 |  1.080999e+00
1537   | domain.arealg(k) = CalcElemCharacteristicLe... |  3.725290e-09 |  2.980232e-08 |  3.121320e+00
1544   | xd_local[lnode] = domain.xd(gnode);            |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1545   | yd_local[lnode] = domain.yd(gnode);            |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1546   | zd_local[lnode] = domain.zd(gnode);            |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1552   | x_local[j] -= dt2 * xd_local[j];               |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1553   | y_local[j] -= dt2 * yd_local[j];               |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1554   | z_local[j] -= dt2 * zd_local[j];               |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1561   | B, detJ, D );                                  |  0.000000e+00 |  0.000000e+00 |  1.000007e+00
1577   | const Real_t deltatime = domain.deltatime() ;  | -2.700787e-05 |  7.447123e+05 |  1.067049e+06
1588   | Real_t vdov = domain.dxx(k) + domain.dyy(k)... |  0.000000e+00 |  0.000000e+00 |  1.013303e+00
1589   | Real_t vdovthird = vdov/Real_t(3.0) ;          |  0.000000e+00 |  0.000000e+00 |  1.013303e+00
1592   | domain.vdov(k) = vdov ;                        |  0.000000e+00 |  0.000000e+00 |  1.013303e+00
1593   | domain.dxx(k) -= vdovthird ;                   |  0.000000e+00 |  0.000000e+00 |  6.188877e+08
1594   | domain.dyy(k) -= vdovthird ;                   |  0.000000e+00 |  0.000000e+00 |           inf
1595   | domain.dzz(k) -= vdovthird ;                   |  0.000000e+00 |  0.000000e+00 |  6.188876e+08
1598   | if (domain.vnew(k) <= Real_t(0.0))             |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1634   | Real_t x0 = domain.x(n0) ;                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1635   | Real_t x1 = domain.x(n1) ;                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1636   | Real_t x2 = domain.x(n2) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1637   | Real_t x3 = domain.x(n3) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1638   | Real_t x4 = domain.x(n4) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1639   | Real_t x5 = domain.x(n5) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1640   | Real_t x6 = domain.x(n6) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1641   | Real_t x7 = domain.x(n7) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1643   | Real_t y0 = domain.y(n0) ;                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1644   | Real_t y1 = domain.y(n1) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1645   | Real_t y2 = domain.y(n2) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1646   | Real_t y3 = domain.y(n3) ;                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1647   | Real_t y4 = domain.y(n4) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1648   | Real_t y5 = domain.y(n5) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1649   | Real_t y6 = domain.y(n6) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1650   | Real_t y7 = domain.y(n7) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1652   | Real_t z0 = domain.z(n0) ;                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1653   | Real_t z1 = domain.z(n1) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1654   | Real_t z2 = domain.z(n2) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1655   | Real_t z3 = domain.z(n3) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1656   | Real_t z4 = domain.z(n4) ;                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
1657   | Real_t z5 = domain.z(n5) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1658   | Real_t z6 = domain.z(n6) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1659   | Real_t z7 = domain.z(n7) ;                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
1661   | Real_t xv0 = domain.xd(n0) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1662   | Real_t xv1 = domain.xd(n1) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1663   | Real_t xv2 = domain.xd(n2) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1664   | Real_t xv3 = domain.xd(n3) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1665   | Real_t xv4 = domain.xd(n4) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1666   | Real_t xv5 = domain.xd(n5) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1667   | Real_t xv6 = domain.xd(n6) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1668   | Real_t xv7 = domain.xd(n7) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1670   | Real_t yv0 = domain.yd(n0) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1671   | Real_t yv1 = domain.yd(n1) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1672   | Real_t yv2 = domain.yd(n2) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1673   | Real_t yv3 = domain.yd(n3) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1674   | Real_t yv4 = domain.yd(n4) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1675   | Real_t yv5 = domain.yd(n5) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1676   | Real_t yv6 = domain.yd(n6) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1677   | Real_t yv7 = domain.yd(n7) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1679   | Real_t zv0 = domain.zd(n0) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1680   | Real_t zv1 = domain.zd(n1) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1681   | Real_t zv2 = domain.zd(n2) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1682   | Real_t zv3 = domain.zd(n3) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1683   | Real_t zv4 = domain.zd(n4) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1684   | Real_t zv5 = domain.zd(n5) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1685   | Real_t zv6 = domain.zd(n6) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1686   | Real_t zv7 = domain.zd(n7) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1688   | Real_t vol = domain.volo(i)*domain.vnew(i) ;   |  5.820766e-11 |  2.980232e-08 |  1.000001e+00
1689   | Real_t norm = Real_t(1.0) / ( vol + ptiny ) ;  | -1.525879e-05 |  2.980232e-08 |  1.169360e+21
1691   | Real_t dxj = Real_t(-0.25)*((x0+x1+x5+x4) -... |  0.000000e+00 |  0.000000e+00 |  1.752948e+02
1692   | Real_t dyj = Real_t(-0.25)*((y0+y1+y5+y4) -... |  0.000000e+00 |  0.000000e+00 |  1.000047e+00
1693   | Real_t dzj = Real_t(-0.25)*((z0+z1+z5+z4) -... |  0.000000e+00 |  0.000000e+00 |  3.424297e+01
1695   | Real_t dxi = Real_t( 0.25)*((x1+x2+x6+x5) -... |  0.000000e+00 |  0.000000e+00 |  1.000047e+00
1696   | Real_t dyi = Real_t( 0.25)*((y1+y2+y6+y5) -... |  0.000000e+00 |  0.000000e+00 |  1.752948e+02
1697   | Real_t dzi = Real_t( 0.25)*((z1+z2+z6+z5) -... |  0.000000e+00 |  0.000000e+00 |  3.424297e+01
1699   | Real_t dxk = Real_t( 0.25)*((x4+x5+x6+x7) -... |  0.000000e+00 |  0.000000e+00 |  1.752948e+02
1700   | Real_t dyk = Real_t( 0.25)*((y4+y5+y6+y7) -... |  0.000000e+00 |  0.000000e+00 |  3.424297e+01
1701   | Real_t dzk = Real_t( 0.25)*((z4+z5+z6+z7) -... |  0.000000e+00 |  0.000000e+00 |  1.000047e+00
1705   | ax = dyi*dzj - dzi*dyj ;                       |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
1706   | ay = dzi*dxj - dxi*dzj ;                       |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
1707   | az = dxi*dyj - dyi*dxj ;                       |  0.000000e+00 |  0.000000e+00 |  2.809087e+01
1709   | domain.delx_zeta(i) = vol / SQRT(ax*ax + ay... |  3.725290e-09 |  2.980232e-08 |  2.046685e+01
1711   | ax *= norm ;                                   |  0.000000e+00 |  0.000000e+00 |  1.672838e+05
1712   | ay *= norm ;                                   |  0.000000e+00 |  0.000000e+00 |  1.672838e+05
1713   | az *= norm ;                                   | -2.384186e-07 |  2.980232e-08 |  6.531475e+07
1715   | dxv = Real_t(0.25)*((xv4+xv5+xv6+xv7) - (xv... |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1716   | dyv = Real_t(0.25)*((yv4+yv5+yv6+yv7) - (yv... |  0.000000e+00 |  0.000000e+00 |  1.000002e+00
1717   | dzv = Real_t(0.25)*((zv4+zv5+zv6+zv7) - (zv... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1719   | domain.delv_zeta(i) = ax*dxv + ay*dyv + az*... |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1723   | ax = dyj*dzk - dzj*dyk ;                       |  0.000000e+00 |  0.000000e+00 |  2.809087e+01
1724   | ay = dzj*dxk - dxj*dzk ;                       |  0.000000e+00 |  0.000000e+00 |  2.879065e+01
1725   | az = dxj*dyk - dyj*dxk ;                       |  0.000000e+00 |  0.000000e+00 |  2.879065e+01
1727   | domain.delx_xi(i) = vol / SQRT(ax*ax + ay*a... |  3.725290e-09 |  2.980232e-08 |  2.046669e+01
1729   | ax *= norm ;                                   | -2.384186e-07 |  2.980232e-08 |  6.531475e+07
1730   | ay *= norm ;                                   |  0.000000e+00 |  0.000000e+00 |  1.672838e+05
1731   | az *= norm ;                                   |  0.000000e+00 |  0.000000e+00 |  1.672838e+05
1733   | dxv = Real_t(0.25)*((xv1+xv2+xv6+xv5) - (xv... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1734   | dyv = Real_t(0.25)*((yv1+yv2+yv6+yv5) - (yv... |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1735   | dzv = Real_t(0.25)*((zv1+zv2+zv6+zv5) - (zv... |  0.000000e+00 |  0.000000e+00 |  1.000002e+00
1737   | domain.delv_xi(i) = ax*dxv + ay*dyv + az*dzv ; |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1741   | ax = dyk*dzi - dzk*dyi ;                       |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
1742   | ay = dzk*dxi - dxk*dzi ;                       |  0.000000e+00 |  0.000000e+00 |  2.809087e+01
1743   | az = dxk*dyi - dyk*dxi ;                       |  0.000000e+00 |  0.000000e+00 |  2.879065e+01
1745   | domain.delx_eta(i) = vol / SQRT(ax*ax + ay*... |  3.725290e-09 |  2.980232e-08 |  2.046685e+01
1747   | ax *= norm ;                                   |  0.000000e+00 |  0.000000e+00 |  1.672838e+05
1748   | ay *= norm ;                                   | -2.384186e-07 |  2.980232e-08 |  6.531475e+07
1749   | az *= norm ;                                   |  0.000000e+00 |  0.000000e+00 |  1.672838e+05
